Frequency (Hz);Amplitude (V);Phase (deg)
31046.0659520903; 6.1229936715e-09; 76.2912597068
31046.39794492041; 7.37203472943e-09; 91.2031711747
31046.72993775053; 5.22730100247e-09; 86.5307124768
31047.06193058064; 5.70625082404e-09; 100.452503866
31047.39392341076; 8.11051421455e-09; 93.471972481
31047.72591624087; 7.79596546325e-09; 103.046866862
31048.05790907099; 8.4817091616e-09; 95.0877375487
31048.3899019011; 6.74335194252e-09; 95.7723500528
31048.72189473121; 6.37459203966e-09; 85.8171241705
31049.05388756133; 6.73443276385e-09; 87.313581948
31049.38588039144; 7.78695341714e-09; 75.4048474928
31049.71787322156; 8.4798412703e-09; 82.5742227935
31050.04986605167; 7.50309449847e-09; 84.0113676702
31050.38185888179; 7.61759394736e-09; 84.5328888801
31050.7138517119; 7.1005921777e-09; 94.5166727605
31051.04584454202; 7.69538803376e-09; 89.221890691
31051.37783737213; 7.02392087267e-09; 77.6406103799
31051.70983020225; 7.13515701298e-09; 86.5453895297
31052.04182303236; 8.74791722857e-09; 89.1404530174
31052.37381586247; 5.81559617531e-09; 102.723094303
31052.70580869259; 7.8727607994e-09; 81.9580872911
31053.0378015227; 5.99073557132e-09; 81.8429142505
31053.36979435282; 7.24279260066e-09; 91.3828937685
31053.70178718293; 7.34728210667e-09; 82.9766587221
31054.03378001305; 7.90648047379e-09; 85.9657774622
31054.36577284316; 6.45046419591e-09; 103.985996844
31054.69776567327; 7.32733893838e-09; 88.9243936763
31055.02975850339; 8.94499999118e-09; 97.1424224354
31055.3617513335; 7.21159936181e-09; 91.1159415305
31055.69374416362; 8.54183151526e-09; 85.8803345468
31056.02573699373; 7.85879299184e-09; 90.7080962655
31056.35772982385; 7.94487434635e-09; 92.3996866469
31056.68972265396; 7.51369842304e-09; 90.8723222448
31057.02171548408; 6.58154907714e-09; 94.9729156893
31057.35370831419; 7.0279204146e-09; 95.1130953364
31057.6857011443; 8.02427368735e-09; 99.8216467045
31058.01769397442; 7.35990385495e-09; 89.2775757923
31058.34968680453; 6.81503402811e-09; 83.2723920755
31058.68167963465; 7.1282625239e-09; 83.6876232927
31059.01367246476; 8.75346488653e-09; 87.6799777968
31059.34566529488; 8.12295242994e-09; 97.0325905474
31059.67765812499; 7.20908337015e-09; 93.8620338927
31060.0096509551; 7.24623761166e-09; 89.2228624354
31060.34164378522; 6.42109484076e-09; 93.1000261017
31060.67363661533; 8.6847290068e-09; 83.9502718736
31061.00562944545; 7.8870355603e-09; 90.0296595905
31061.33762227556; 8.99736816915e-09; 81.3906867272
31061.66961510568; 8.66647571642e-09; 91.4838059949
31062.00160793579; 8.59321072836e-09; 87.3404504986
31062.33360076591; 7.66627016202e-09; 104.634112573
31062.66559359602; 8.75710100243e-09; 87.7110700894
31062.99758642614; 7.84603170995e-09; 84.0633832715
31063.32957925625; 7.32861632278e-09; 89.0796836898
31063.66157208636; 7.87119226048e-09; 91.0647962666
31063.99356491648; 7.7755510995e-09; 81.2060277892
31064.32555774659; 6.30083286412e-09; 100.305374913
31064.65755057671; 9.57315692764e-09; 89.9465655128
